identifier,d_interlayer,bond_average,bond_equatorial,bond_axial,angleXMX_average,angleXMX_equatorial,angleXMX_axial,angleMXM_average
1678,4.04035253239384,3.1799710996003334,3.1614793893851254,3.2169545200307486,172.9960995994345,170.55415771574977,177.87998336680394,160.10224515622122
1680,4.048260724356652,3.216290648895331,3.177904525730316,3.2930628952253604,175.56220187171823,176.1958022537262,174.29500110770226,144.97263335586226
1681,4.185320603445023,3.2090306264020536,3.1954752025798077,3.236141474046545,170.92923447949127,169.9128712136585,172.96196101115683,145.96545958636813
1822,8.422038309223524,3.2640497589739055,3.272216597904135,3.2477160811134462,169.00662356110874,170.53211817782417,165.95563432767779,145.56850467529998
1823,8.620662967092713,3.2355468870227626,3.243570142329868,3.2195003764085515,170.590785919382,171.50879653993067,168.75476467828472,146.95894752984373
1824,7.985132211219096,3.1755917321674807,3.157269290435316,3.2122366156318094,173.66790357759518,173.76375531526338,173.4762001022588,163.86593191259385
1825,4.172487378705599,3.27854892495446,3.2836535273807415,3.2683397201018964,172.2482802802331,174.0364920978583,168.6718566449828,150.13478194844438
1826,7.673103103356386,3.208714937584677,3.198950326150923,3.228244160452185,167.12510496723232,165.93270738695423,169.5099001277884,152.94740537111142
1827,6.9972075058801,3.243825095774407,3.268667903410984,3.1941394805012537,168.13898684291948,171.63848566955755,161.13998918964336,156.86944707389964
1828,5.196775511679437,3.2217536039681125,3.2326319319866843,3.199996947930968,164.04439656225858,163.37357096782432,165.38604775112708,157.36183481344847
1829,5.130786864790068,3.234681731125663,3.2485072076720627,3.2070307780328626,168.76561836967218,168.41992034928268,169.45701441045122,156.57835204589574
1830,4.621999528207895,3.3493819980127117,3.4708698481643765,3.1064062977093827,169.7677280908045,170.50578638310907,168.29161150619532,142.31767412856445
1831,6.023965744255289,3.3415128928703353,3.425189150804579,3.174160377001847,166.960600723333,171.05252753950123,158.77674709099648,148.60615926640784
1832,6.176762840704615,3.359740570390102,3.4397250082480935,3.19977169467412,165.94573570779474,165.31902457785648,167.19915796767128,146.08511375362502
1833,5.956556846597705,3.1899178677435387,3.1923740324582655,3.185005538314086,175.6068613638821,178.61392503987923,169.59273401188779,157.34092204831865
1834,5.855687001759285,3.2351670222770856,3.238522222442552,3.2284566219461532,173.9649537757708,175.51184273630105,170.87117585471017,156.49080287475692
1835,5.918014132317962,3.2182758726032064,3.2006819444060186,3.2534637289975814,174.54959958054243,175.7926606722811,172.06347739706507,152.42864934356913
1836,5.7661127077304695,3.1732741907119117,3.1519558493137594,3.215910873508218,173.5332949138498,175.3571638835,169.88555697454944,169.29221954485564
1837,6.398407969332306,3.235610887428045,3.2583315309154237,3.1901696004532862,172.98892261179142,174.99050935854473,168.98574911828484,151.550465535256
1838,6.424054038184662,3.2261379098577003,3.2386296238248544,3.201154481923393,173.61294821565897,173.57670055561977,173.68544353573733,150.22554200132788
1839,6.538119685734355,3.2069398181135185,3.2119623229024854,3.1968948085355846,171.9613830757206,172.17952034852289,171.5251085301159,150.4930283909145
1840,6.62439337042485,3.2813066660640846,3.3096627331765083,3.224594531839237,164.24163927017852,165.64114928887383,161.44261923278793,161.64736664665688
1841,6.703500622173846,3.2832268930816597,3.3159108763095215,3.217858926625937,164.50531388489574,164.94200715128758,163.63192735211206,159.25724036177516
1842,6.86240819478571,3.229259821304808,3.250358352614099,3.187062758686226,171.15959911107555,171.0780194223452,171.3227584885363,146.9767459339062
1843,6.387174246513172,3.219789603628507,3.23380992021658,3.191748970452361,171.443038674223,170.74464870324178,172.83981861618545,154.41663658674753
1844,6.440132054933793,3.222385997132001,3.2376836326063105,3.191790726183382,169.39737591419717,168.0624102120061,172.0673073185793,154.28161143131678
3410,11.834111834720478,3.1573931057525684,3.1405384474194955,3.1911024224187137,177.2611850260836,176.78790143156397,178.20775221512295,163.5154364488709
3782,3.586365490002877,3.2131608200620594,3.222963820492318,3.1935548192015415,173.05145321180285,170.78288676201993,177.58858611136873,141.80368140965885
3783,3.5513862840646446,3.2245086996574046,3.2377879684089477,3.197950162154319,173.9882387319267,172.94089307502117,176.08293004573787,135.57992317842024
3787,4.046962233317546,3.1995130307572155,3.1861447448953286,3.226249602480991,179.08908775365617,178.98658496707478,179.29409332681908,143.10008211853838
3883,4.100425080212233,3.1864219120267463,3.173137011682592,3.2129917127150556,176.5451463277744,175.6406069158213,178.3542251516805,142.93862228765295
3884,3.892178584649171,3.216092898501975,3.2001421239087744,3.2479944476883773,171.3877458561609,170.432685598395,173.2978663716927,144.18478358144344
4302,12.318593993210996,3.1799966861485953,3.171703092605779,3.1965838732342284,168.51828142966804,166.48025207245414,172.59434014409578,159.98005385440982
4330,11.263084273188191,3.185143942977085,3.164085389738899,3.227261049453455,167.75561631290628,167.15913541897666,168.9485781007655,153.4581595845753
4680,12.027067296292707,3.1673708882084592,3.1431251416705512,3.2158623812842744,170.07140924116354,168.45826157562192,173.29770457224672,155.62729618101395
5127,11.91854528915669,3.17152125210271,3.1533315650857983,3.2079006261365315,168.6331793491679,166.00258885008571,173.89436034733228,158.04949960920055
5665,11.758438360209313,3.166691361551624,3.152255708892461,3.1955626668699493,173.60667250451863,172.295511207279,176.22899509899787,164.0429806005017
7959,3.6790195177409473,3.2154153334859124,3.2316262477310365,3.182993504995663,176.35602188949778,175.43958025585084,178.18890515679158,135.50669197015387
7960,3.333278296065682,3.220097895573838,3.235892730497892,3.1885082257257302,175.66956929988476,175.3721147233254,176.26447845300342,142.70474051985548
7971,4.009865374549717,3.2146309434357363,3.186782322896542,3.270328184514124,179.78743376881826,179.79249600097776,179.7773093044993,143.28570167314186
7972,4.026326206368224,3.2063189875318194,3.205382939384999,3.20819108382546,170.24976492902462,169.1242398593212,172.50081506843142,143.63798450455243
7979,4.018528133379304,3.1947333265861353,3.1747752356812033,3.234649508396,178.26678938301538,178.10688974612845,178.58658865678927,142.25961527299137
7998,3.6014760409852844,3.216080951926969,3.2328129703128536,3.1826169151552017,170.71517845137922,167.08485166975316,177.97583201463138,135.25279005618097
7999,3.450823179856423,3.2160963135074034,3.2304768682538487,3.1873352040145146,174.52947473970997,172.73445468655527,178.11951484601943,140.45200621029997
8014,4.059475896349214,3.1858781878480897,3.179594511059083,3.1984455414261026,176.88538885950166,176.36054453657155,177.93507750536193,142.19529765754356
8401,3.9873351322988713,3.217153615672269,3.2030345953825234,3.2453916562517606,174.2626469613227,172.3488691259561,178.0902026320559,142.17919597765876
