identifier,ringcount,linkage_p,six_ring_p,primaryamine,linker_length,linker_position,hetero_nitrogen,fluorination,furan,pyrrole,sidechain_on_linker,sidechain_on_backbone
456,1,0.0,0.0,2,2,1.0,1,0,0,0,1,0
457,1,0.0,0.0,1,1,1.0,0,0,1,0,0,0
458,1,0.0,0.0,2,2,1.0,0,0,1,0,1,0
459,1,0.0,0.0,2,2,1.0,0,0,0,1,1,0
460,1,0.0,0.0,2,2,1.0,0,0,0,0,2,0
461,3,1.0,0.6666666666666666,2,2,1.0,0,0,0,0,0,0
462,3,1.0,0.3333333333333333,2,2,1.0,0,0,0,0,0,0
463,3,1.0,0.3333333333333333,2,2,1.0,0,0,0,0,0,0
464,3,1.0,0.3333333333333333,2,2,1.0,0,0,0,0,0,0
465,2,1.0,0.5,1,1,1.0,0,0,0,0,0,0
466,2,1.0,0.5,2,3,1.0,0,0,0,0,0,0
467,2,1.0,0.5,2,3,1.0,0,0,0,0,0,0
